id,title,album,artist,release_date,length,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature,release_year
4zU458ZW1MrDIi3AQ0h3Wt,Karolina,Ports Of Lima,Sore,2008-04-24,334013,50,False,334013,0.46,0.454,0,-11.241,1,0.0241,0.506,0.00169,0.0884,0.503,90.02,audio_features,spotify:track:4zU458ZW1MrDIi3AQ0h3Wt,https://api.spotify.com/v1/tracks/4zU458ZW1MrDIi3AQ0h3Wt,https://api.spotify.com/v1/audio-analysis/4zU458ZW1MrDIi3AQ0h3Wt,4,2008
0yyRL7Rxr4oJ6uI7DYe2OT,Desember,Efek Rumah Kaca,Efek Rumah Kaca,2007,256975,58,False,256975,0.589,0.322,0,-10.116,1,0.0304,0.37,4.89e-06,0.224,0.229,114.969,audio_features,spotify:track:0yyRL7Rxr4oJ6uI7DYe2OT,https://api.spotify.com/v1/tracks/0yyRL7Rxr4oJ6uI7DYe2OT,https://api.spotify.com/v1/audio-analysis/0yyRL7Rxr4oJ6uI7DYe2OT,3,2007
5lr9fSb6BKR7rkD2JNITg2,Duniawi,+imeless,Rumahsakit,2015-04-14,295600,45,False,295600,0.424,0.546,3,-4.697,1,0.0286,0.212,1.48e-05,0.19,0.305,152.084,audio_features,spotify:track:5lr9fSb6BKR7rkD2JNITg2,https://api.spotify.com/v1/tracks/5lr9fSb6BKR7rkD2JNITg2,https://api.spotify.com/v1/audio-analysis/5lr9fSb6BKR7rkD2JNITg2,4,2015
5tqlMABsdJTo2ng2PnBkoT,Man Upon the Hill,Constellation,Stars and Rabbit,2015-05-15,217983,55,False,217984,0.554,0.523,9,-6.01,1,0.03,0.377,0.0057,0.133,0.307,137.878,audio_features,spotify:track:5tqlMABsdJTo2ng2PnBkoT,https://api.spotify.com/v1/tracks/5tqlMABsdJTo2ng2PnBkoT,https://api.spotify.com/v1/audio-analysis/5tqlMABsdJTo2ng2PnBkoT,3,2015
7q8lXVcXKQWFLcZWtsBELP,Tentang Rumahku,Tentang Rumahku,Dialog Dini Hari,2014-05-30,242693,48,False,242693,0.743,0.373,1,-11.509,0,0.034,0.306,0.0,0.148,0.503,114.945,audio_features,spotify:track:7q8lXVcXKQWFLcZWtsBELP,https://api.spotify.com/v1/tracks/7q8lXVcXKQWFLcZWtsBELP,https://api.spotify.com/v1/audio-analysis/7q8lXVcXKQWFLcZWtsBELP,4,2014
0MAIxtXWimwhAAQOST9jp7,Sesuatu Di Jogja,8 Tahun,Adhitia Sofyan,2017-07-10,287453,70,False,287453,0.638,0.376,0,-11.205,1,0.0309,0.848,0.00699,0.107,0.357,112.128,audio_features,spotify:track:0MAIxtXWimwhAAQOST9jp7,https://api.spotify.com/v1/tracks/0MAIxtXWimwhAAQOST9jp7,https://api.spotify.com/v1/audio-analysis/0MAIxtXWimwhAAQOST9jp7,4,2017
60zomg1pGnaSrapCzO6aPG,All the Time,Visible Idea of Perfection,The SIGIT,2006-12-14,198466,52,False,198467,0.426,0.763,11,-5.632,0,0.0496,0.2,0.0444,0.176,0.6,142.147,audio_features,spotify:track:60zomg1pGnaSrapCzO6aPG,https://api.spotify.com/v1/tracks/60zomg1pGnaSrapCzO6aPG,https://api.spotify.com/v1/audio-analysis/60zomg1pGnaSrapCzO6aPG,4,2006
2XWsariqeTCH61B53r8yA3,When You Love Someone,Nowhere to Go,Endah N Rhesa,2009-12-14,271653,63,False,271654,0.496,0.246,2,-9.882,1,0.0267,0.75,1.54e-06,0.132,0.23,149.977,audio_features,spotify:track:2XWsariqeTCH61B53r8yA3,https://api.spotify.com/v1/tracks/2XWsariqeTCH61B53r8yA3,https://api.spotify.com/v1/audio-analysis/2XWsariqeTCH61B53r8yA3,4,2009
3KTVojksOh7uDvldDpTh1v,-Dopamin,Misteria,Goodnight Electric,2020-05-07,249413,42,False,249413,0.457,0.953,0,-2.921,1,0.0313,2.84e-05,0.636,0.282,0.842,137.988,audio_features,spotify:track:3KTVojksOh7uDvldDpTh1v,https://api.spotify.com/v1/tracks/3KTVojksOh7uDvldDpTh1v,https://api.spotify.com/v1/audio-analysis/3KTVojksOh7uDvldDpTh1v,4,2020
10s8XK7vzEIfDP1fSIVzst,Strange Is the Song in Our Conversation,Lantai Merah,Monkey to Millionaire,2009-05-21,288768,44,False,288768,0.619,0.868,2,-4.793,1,0.0395,0.0126,0.0,0.154,0.622,128.055,audio_features,spotify:track:10s8XK7vzEIfDP1fSIVzst,https://api.spotify.com/v1/tracks/10s8XK7vzEIfDP1fSIVzst,https://api.spotify.com/v1/audio-analysis/10s8XK7vzEIfDP1fSIVzst,4,2009
